fuente_nombre,nombre,categoria,fecha_inicio,hora_inicio,fecha_termino,lugar,comuna,precio_min,link_evento
Passline,El Circo de Tony Caluga en Puente Alto / Vacaciones de invierno,,2026-08-30,15:30:00,,Puente Alto,Puente Alto,5000,https://www.passline.com/eventos/el-circo-de-tony-caluga-en-puente-alto-vacaciones-de-invierno-542590
Passline,"El Principito, Teatro en Factoría Franklin, Especial mes del niño",,2026-08-30,16:00:00,,Factoria Franklin,Santiago,5000,https://www.passline.com/eventos/el-principito-teatro-en-factoria-franklin-especial-mes-del-nino-539364
Passline,TOM HOUSE • CLUB FIST • 3ª EDICIÓN (+18),,2026-08-30,17:00:00,,.,Recoleta,15000,https://www.passline.com/eventos/tom-house-club-fist-3-edicion
Passline,Los Domingos / Centro Arte Alameda,,2026-08-30,17:00:00,,Centro Arte Alameda / Sala CEINA,Santiago,2500,https://www.passline.com/eventos/los-domingos-centro-arte-alameda
Passline,FLOR DE RAP Y SUS GRANDES EXITOS,,2026-08-30,18:00:00,,DISTRITO 04,San Miguel,5000,https://www.passline.com/eventos/flor-de-rap-y-sus-grandes-exitos
Passline,El Circo de Tony Caluga en Puente Alto / Vacaciones de invierno,,2026-08-30,18:00:00,,Puente Alto,Puente Alto,5000,https://www.passline.com/eventos/el-circo-de-tony-caluga-en-puente-alto-vacaciones-de-invierno-542568
Passline,"OBRA: Si los cerdos no miran al cielo, ¿que hacemos con ellos? (+14)",,2026-08-30,20:00:00,,"SALA CLUB DE TEATRO, CHUCRE MANZUR #10",Providencia,8000,https://www.passline.com/eventos/obra-si-los-cernos-no-miran-al-cielo-que-hacemos-con-ellos-542745
Passline,FINAL “AMIGAS & RIVALES “ 20 AÑOS (+14),,2026-08-30,20:00:00,,TEATRO CARIOLA,Santiago,,https://www.passline.com/eventos/final-amigas-rivales-20-anos
Passline,ARRUINARSE,,2026-08-30,20:00:00,,Teatro Fiebre,Providencia,10000,https://www.passline.com/eventos/arruinarse-530711
Passline,El Circo de Tony Caluga en Puente Alto / Vacaciones de invierno,,2026-08-30,20:30:00,,Puente Alto,Puente Alto,5000,https://www.passline.com/eventos/el-circo-de-tony-caluga-en-puente-alto-vacaciones-de-invierno-542582
Municipalidad de Vitacura,Escritura introspectiva,,2026-08-31,10:30:00,,"Biblioteca, Av. San Josemaría Escrivá de Balaguer 6420",Vitacura,,https://vitacura.cl/actividad/escritura-introspectiva-3/
Municipalidad de Providencia,Mercado a un metro,,2026-08-31,11:00:00,,Estación de metro Baquedano,Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Universidad Adolfo Ibanez - Eventos,"Seminario de lanzamiento ""Guía Metodológica para la Zonificación del Borde Costero""",,2026-08-31,11:00:00,,Campus Pdte. Errázuriz,,,https://www.uai.cl/eventos/ingenieria-y-ciencias/seminario-de-lanzamiento-guia-metodologica-para-la-zonificacion-del-borde-costero
Municipalidad de Providencia,Taller de escritura El Mapa que Somos,taller,2026-08-31,15:00:00,,"Biblioteca Bellavista, Constitución 85",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Centro de Estudios Públicos (CEP),Ciclo de cine: 250 años de la independencia de Estados Unidos | Lincoln (2012),cine,2026-08-31,18:00:00,,"Auditorio CEP, Monseñor Sótero Sanz 162",Providencia,0,https://www.cepchile.cl/eventos/ciclo-de-cine-250-anos-de-la-independencia-de-estados-unidos-lincoln-2012/
Municipalidad de Providencia,“O’Higgins: más allá del héroe”. Diálogo abierto con Alfredo Sepúlveda,,2026-08-31,18:30:00,,"Biblioteca Bellavista, Constitución 85",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Universidad Adolfo Ibanez - Eventos,Charla: Cibernética regulatoria en el mercado energético chileno,,2026-09-01,08:30:00,,Campus Pdte. Errázuriz,,,https://www.uai.cl/eventos/ingenieria-y-ciencias/charla-cibernetica-regulatoria-en-el-mercado-energetico-chileno
Universidad Adolfo Ibanez - Eventos,"Ciudad, gestión hídrica y territorio: desafíos regulatorios para el futuro de la Cuenca del Maipo",,2026-09-01,08:30:00,,Campus Pdte. Errázuriz,,,https://www.uai.cl/eventos/derecho/ciudad-gestion-hidrica-y-territorio-desafios-regulatorios-para-el-futuro-de-la-cuenca-del-maipo
Museo de la Memoria y los Derechos Humanos,Un sueño y un viaje con retorno,,2026-09-01,18:00:00,,Auditorio MMDH,Santiago,0,https://mmdh.cl/cartelera/un-sueno-y-un-viaje-con-retorno
Universidad Adolfo Ibanez - Eventos,Ciclo tributario de charlas: Proyecto de reconstrucción y desarrollo económico y social,,2026-09-01,18:00:00,,Campus Pdte. Errázuriz,,,https://www.uai.cl/eventos/derecho/ciclo-tributario-de-charlas-proyecto-de-reconstruccion-y-desarrollo-economico-y-social
Passline,POL PABLO | UP10 UNPLUGGED | V R A V A,,2026-09-01,20:00:00,,Centro parque,Las Condes,5000,https://www.passline.com/eventos/pol-pablo-up10-unplugged-v-r-a-v-a
Museo de la Memoria y los Derechos Humanos,Lanzamiento Podcast Sombras de Lonquén,,2026-09-02,12:00:00,,Auditorio MMDH,Santiago,,https://mmdh.cl/cartelera/lanzamiento-podcast-sombras-de-lonquen
