banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Banco Falabella,La sanguchera del barrio,Costanera Center,,,,https://images.ctfassets.net/p6eyia4djstu/64o6NAjfWT1NnA41BIK6Yp/d7609a3c2bcd2ff5b54233407dd10dfc/Logos_Cards_Sitio_Beneficios_La_Sanguchera.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://lasangucheradelbarrio.cl/cartals/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-la-sanguchera-del-barrio
Banco Falabella,La sanguchera del barrio,Mallplaza Tobalaba,,,,https://images.ctfassets.net/p6eyia4djstu/64o6NAjfWT1NnA41BIK6Yp/d7609a3c2bcd2ff5b54233407dd10dfc/Logos_Cards_Sitio_Beneficios_La_Sanguchera.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://lasangucheradelbarrio.cl/cartals/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-la-sanguchera-del-barrio
Banco Falabella,Ekeko,Mercado Bulnes,,,,https://images.ctfassets.net/p6eyia4djstu/4WdIUj26B3t0IUBLdmpiJG/79672ca2dba494971cfaae1da53840e4/Logos_Cards_Sitio_Beneficios_Ekeko.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://www.instagram.com/popular/ekeko-mercado-bulnes/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-ekeko
Banco Falabella,Badass,Parque Arauco,,,,https://images.ctfassets.net/p6eyia4djstu/2vxCFclO4z88rVxGnoOuTP/4c8a7b9e4265bd5319384fc935fd9372/logo_web_badass.webp,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://kairos-brewing.com/pages/badass,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/badass
Banco Falabella,Vendetta,Mall Plaza Egaña,,,,https://images.ctfassets.net/p6eyia4djstu/36sxvCmkdhaQrPW5PYWjlU/e0f92265c985185fef553f22f7e8ad98/Logos_Cards_Sitio_Beneficios_Vendetta.png,lunes;martes;miercoles;jueves,Hasta 40%,,2026-09-30,https://www.vendettarestaurante.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/vendetta
Banco Falabella,Vendetta,Mall Plaza Los Dominicos,,,,https://images.ctfassets.net/p6eyia4djstu/36sxvCmkdhaQrPW5PYWjlU/e0f92265c985185fef553f22f7e8ad98/Logos_Cards_Sitio_Beneficios_Vendetta.png,lunes;martes;miercoles;jueves,Hasta 40%,,2026-09-30,https://www.vendettarestaurante.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/vendetta
Banco Falabella,Vendetta,Mall Plaza Vespucio,,,,https://images.ctfassets.net/p6eyia4djstu/36sxvCmkdhaQrPW5PYWjlU/e0f92265c985185fef553f22f7e8ad98/Logos_Cards_Sitio_Beneficios_Vendetta.png,lunes;martes;miercoles;jueves,Hasta 40%,,2026-09-30,https://www.vendettarestaurante.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/vendetta
Banco Falabella,Vendetta,Patio Bellavista,,,,https://images.ctfassets.net/p6eyia4djstu/36sxvCmkdhaQrPW5PYWjlU/e0f92265c985185fef553f22f7e8ad98/Logos_Cards_Sitio_Beneficios_Vendetta.png,lunes;martes;miercoles;jueves,Hasta 40%,,2026-09-30,https://www.vendettarestaurante.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/vendetta
Banco Falabella,Milá,Mall Vivo Imperio,,,,https://images.ctfassets.net/p6eyia4djstu/5mjsuH8ypjPVA8hPPL4UC8/421ef922e62e4904a993e8556433b81e/Logos_Cards_Sitio_Beneficios_Mila__1_.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://milaresto.cl/cartaqr/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-vivo-imperio-mila
Banco Falabella,Milá,Alto Las Condes,,,,https://images.ctfassets.net/p6eyia4djstu/5mjsuH8ypjPVA8hPPL4UC8/421ef922e62e4904a993e8556433b81e/Logos_Cards_Sitio_Beneficios_Mila__1_.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://milaresto.cl/cartaqr/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-vivo-imperio-mila
Banco Falabella,Barra Chalaca,Mall Plaza Egaña,,,,https://images.ctfassets.net/p6eyia4djstu/5Kn9NKZotE2UfqmL8YpvKd/765318e19dea484f0850d198c60eadce/Logos_Cards_Sitio_Beneficios_Barra_Chalaca.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://barrachalaca.cl/cartaqrcompleta/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-barra-chalaca
Banco Falabella,Barra Chalaca,Mall Alto Las Condes,,,,https://images.ctfassets.net/p6eyia4djstu/5Kn9NKZotE2UfqmL8YpvKd/765318e19dea484f0850d198c60eadce/Logos_Cards_Sitio_Beneficios_Barra_Chalaca.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://barrachalaca.cl/cartaqrcompleta/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-barra-chalaca
Banco Falabella,Barra Chalaca,Mall Plaza Norte,,,,https://images.ctfassets.net/p6eyia4djstu/5Kn9NKZotE2UfqmL8YpvKd/765318e19dea484f0850d198c60eadce/Logos_Cards_Sitio_Beneficios_Barra_Chalaca.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://barrachalaca.cl/cartaqrcompleta/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-barra-chalaca
Banco Falabella,Barra Chalaca,Mall Plaza Vespucio,,,,https://images.ctfassets.net/p6eyia4djstu/5Kn9NKZotE2UfqmL8YpvKd/765318e19dea484f0850d198c60eadce/Logos_Cards_Sitio_Beneficios_Barra_Chalaca.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://barrachalaca.cl/cartaqrcompleta/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-barra-chalaca
Banco Falabella,Barra Chalaca,Mall Vivo Panorámico,,,,https://images.ctfassets.net/p6eyia4djstu/5Kn9NKZotE2UfqmL8YpvKd/765318e19dea484f0850d198c60eadce/Logos_Cards_Sitio_Beneficios_Barra_Chalaca.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://barrachalaca.cl/cartaqrcompleta/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-barra-chalaca
Banco Falabella,El Bodegon,Open Kennedy,,,,https://images.ctfassets.net/p6eyia4djstu/5ixj3b9lpPO0Ty2Cjc3CZU/130e7252e349453cd90d6bfe5d63d40b/Logos_Cards_Sitio_Beneficios_El_Bodegon.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://www.instagram.com/elbodegonsantiago/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/el-bodegon
Banco Falabella,Fuente Suiza,Mallplaza Oeste,,,,https://images.ctfassets.net/p6eyia4djstu/3Vaiu0m9UsUrm83Cc13F3G/ffd691ae082f0dc5cd120317c033ea67/Cards_Febrero_LOGO_Fuente_Suiza.webp,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://fuentesuiza.cl/menu/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/fuente-suiza
Banco Falabella,Fuente Suiza,Open Kennedy,,,,https://images.ctfassets.net/p6eyia4djstu/3Vaiu0m9UsUrm83Cc13F3G/ffd691ae082f0dc5cd120317c033ea67/Cards_Febrero_LOGO_Fuente_Suiza.webp,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://fuentesuiza.cl/menu/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/fuente-suiza
Banco Falabella,Siete cortes,Open Kennedy,,,,https://images.ctfassets.net/p6eyia4djstu/18AFyEGSRxlecdwCi26zsH/3c0ae8530f19943a1a19363e2aa15e4f/Logos_Cards_Sitio_Beneficios_Siete_Cortes.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-siete-cortes
Banco Falabella,El japones,Mall Florida Center,,,,https://images.ctfassets.net/p6eyia4djstu/1JKO1UY08MPkDtWFzmiSeL/2c1adb5c01c4e246cc6861596c63ada1/Logos_Cards_Sitio_Beneficios_El_Japones.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://eljaponeschile.com/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-el-japones
